name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Experimental Phase Coils,ex_phase_coils,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ExperimentalPhaseCoils,Reduces phase cloak cooldown by %s.,Greatly reduces phase cloak cooldown.,graphics/hullmods/phase_coils_experimental.png
High Volition Attractor,high_frequency_attractor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,An experimental modification allowing high-frequency motes to be warped in by the rift core on board the ship.,Launches more powerful high-frequency motes.,graphics/hullmods/high_volition_attractor.png
Converted Cargo Bay,converted_bay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.ConvertedCargoBay,"This ship's cargo hold has been converted to house a pair of fighter bays. The improvised manufactory that produces fighter chassis is unreliable, and most components have minor defects. Fighter speed reduced by %s, and damage taken increased by %s.",Pair of improvised fighter bays.,graphics/hullmods/converted_hangar.png
Vast Bulk,vastbulk,,,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,"The main body of this structure is vast and is, for practical purposes, capable of absorbing any amount of damage from conventional weapons without being destroyed.",,graphics/hullmods/vast_bulk.png
Axial Rotation,axialrotation,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,This structure constantly rotates around its axis.,,graphics/hullmods/axial_rotation.png
Anchor Rotation,anchorrotation,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AnchorRotation,This structure rotates around its anchor attachment point. For station modules only.,,graphics/hullmods/axial_rotation.png
Reduced Explosion,reduced_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,Reduced explosion radius and damage.,,graphics/hullmods/reduced_explosion.png
Always Detaches,always_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,Always detaches from parent structure when destroyed.,,graphics/hullmods/detach_always.png
Never Detaches,never_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,Never detaches from parent structure when destroyed.,,graphics/hullmods/detach_never.png
No Weapon Flux,no_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,Weapon fire costs no flux. Used on fighters for fine-grained control of effective shield hitpoints.,,
Do Not Fire Through,do_not_fire_through,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.DoNotFireThrough,"Weapons on other modules of a station will avoid firing through this module, even though the shots would go over it and not hit.",,
Shard Spawner,shard_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShardSpawner,Spawns shard ships when ship is disabled/destroyed.,,
Do Not Back Off,do_not_back_off,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DoNotBackOff,Sets DO_NOT_BACK_OFF AIFlag,,
,,,,,,,,,,,,,,,,,,
# ship skin buffs,,,,,,,,,,,,,,,,,,
Fourteenth Battlegroup,fourteenth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,"This ship is a survivor of the original 14th Domain Battlegroup which founded the Hegemony. It is a prime specimen of the Domain Navy's ""decisive battle"" doctrine, particularly exhibited by a series of radical structural modifications (performed with pre-Collapse industrial methods) which allow the mounting of heavier armor plating by a flat increase of %s standard units, with only a %s reduction in speed and maneuverability. Exceptionally well-tuned energy systems increase flux throughput and capacity by %s over standard examples of this hull.",,graphics/hullmods/fourteenth.png
Militarized Hegemony Auxiliary,heg_militarized,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,"This ship is - or was - on the Hegemony auxiliary list. Uparmour kits applied at Hegemony Naval yards resulting in no loss of performance for a %s/%s/%s/%s increase in armor strength, depending on hull size. Core power systems have been upgraded to military standards resulting in a %s improvement in overall handling, %s increase in flux capacity, a %s increase in flux dissipation, and an increase of maximum burn level by %s.",,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# permanent ship debuffs,,,,,,,,,,,,,,,,,,
Compromised Armor,comp_armor,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,"This ship's armor has taken major and irreparable damage at some point in the past, or suffered from major errors in the manufacturing process. Armor rating reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/compromised_armor.png
Compromised Hull,comp_hull,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,"This ship's hull has taken major and irreparable damage at some point in the past, or suffered from major errors in the manufacturing process. Hull integrity reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/compromised_hull.png
Degraded Engines,degraded_engines,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"Whether due to battle damage, manufacturing defects, or cycles of poor maintenance, this ship's engines are suffering from permanently degraded combat performance. 

Top speed and maneuverability in combat reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/degraded_engines.png
Degraded Drive Field,degraded_drive_field,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"Whether due to battle damage, manufacturing defects, or cycles of poor maintenance, this ship's drive field is suffering from permanently degraded performance. 

Maximum burn level decreased by %s. Sensor profile increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/degraded_drivefield.png
Faulty Power Grid,faulty_grid,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"Whether due to battle damage, manufacturing defects, or cycles of poor maintenance, this ship's power grid will never be capable of achieving peak performance.

Flux capacity reduced by %s. Flux dissipation rate reduced by %s. Sensor profile increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/faulty_power_grid.png
Phase Coil Instability,unstable_coils,,,,"dmod, phaseDamage",,,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"The phase coils on this ship are impossible to calibrate properly due to subtle flaws. Reduces the phase-time bonus by %s, reduces the peak performance time by %s, and increases the rate at which combat readiness degrades by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/phase_coil_instability.png
Structural Damage,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,"This ship's hull has likely taken extreme damage in the past, possibly to the point of breaking apart. Armor rating reduced by %s, hull integrity reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/structural_damage.png
Glitched Sensor Array,glitched_sensors,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,"The ship's sensor array is damaged past any repair short of a complete hull overhaul. Weapon range in combat reduced by %s. Sensor strength reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/glitched_sensor_array.png
Malfunctioning Comms,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.MalfunctioningComms,"The comm system has suffered serious damage, making punching through battlefield jamming even more of a challenge. Fighter engagement range reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/malfunctioning_comms.png
Defective Manufactory,defective_manufactory,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DefectiveManufactory,"The manufactory that produces fighter chassis is unreliable, and most components have minor defects. Fighter speed reduced by %s, and damage taken increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/defective_manufactory.png
Damaged Flight Deck,damaged_deck,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,"The flight decks on this ship have taken major damage and seriously interfere with normal operation. Time to launch replacement fighters is increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/damaged_flight_deck.png
Unreliable Subsystems,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,"A widespread loss of redundant components reduces peak operating time by %s, and increases the rate at which combat readiness degrades by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/fragile_subsystems.png
Compromised Storage,comp_storage,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStorage,"The storage capacity of this ship is significantly degraded. Crew, cargo, and fuel capacity reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/compromised_storage.png
Increased Maintenance,increased_maintenance,,,,"dmod, damage, civ, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.IncreasedMaintenance,"Increases the monthly maintenance supply cost by %s. Increases minimum crew required by %s. Decreases maximum combat readiness by %s.

Supply cost to recover from deployment reduced by %s.","Increases maintenance cost and crew requirements, decreases maximum combat readiness.",graphics/hullmods/increased_maintenance.png
Erratic Fuel Injector,erratic_injector,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ErraticInjector,"Increases fuel use by %s and decreases the zero-flux boost by %s su/second.

Supply cost to recover from deployment reduced by %s.",Increases fuel use and decreases the zero-flux boost.,graphics/hullmods/erratic_injector.png
Faulty Automated Systems,faulty_auto,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FaultyAutomatedSystems,"Increases minimum crew required by %s and decreases maximum combat readiness by %s.

Supply cost to recover from deployment reduced by %s.","Increases minimum crew required, decreases maximum combat readiness.",graphics/hullmods/faulty_automated_systems.png
Damaged Weapon Mounts,damaged_mounts,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedWeaponMounts,"Reduces weapon turn rate by %s and increases recoil by %s.

Supply cost to recover from deployment reduced by %s.",Reduces weapon turn rate and increases recoil.,graphics/hullmods/damaged_weapon_mounts.png
Degraded Life Support,degraded_life_support,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedLifeSupport,"Decreases maximum crew capacity by %s, and maximum combat readiness by %s.

Supply cost to recover from deployment reduced by %s.",Decreases maximum crew capacity and combat readiness.,graphics/hullmods/degraded_life_support.png
Degraded Shields,degraded_shields,,,,"dmod, damage, reqShields",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedShields,"Increases the amount of damage taken by shields by %s.

Supply cost to recover from deployment reduced by %s.",Increases damage taken by shields.,graphics/hullmods/degraded_shields.png
,,,,,,,,,,,,,,,,,,
Destroyed Weapon Mounts,destroyed_mounts,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.DestroyedWeaponMounts,Some of the original weapon mounts on this ship have been damaged beyond repair and can no longer be used.,,graphics/hullmods/damaged_weapon_mounts.png
Ill-Advised Modifications,ill_advised,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.IllAdvised,"This hull's systems have been drastically modified from spec, likely without certified engineering oversight. Its systems appear to work correctly under routine conditions, but have a significant chance of critical malfunction when stressed.",,graphics/hullmods/illadvised.png
